ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,entrez_id,gene_name
ENSMUSG00000030278,1384.2332967226096,4.993968168456907,0.3356303729757995,14.879369003999512,4.4871142851382e-50,6.740543079134604e-46,Cidec,14311,cell death-inducing DFFA-like effector c
ENSMUSG00000037440,2096.463343690468,3.57143546211502,0.27455066706697956,13.00829278715149,1.0976699984763546e-38,7.417120203584005e-35,Vnn1,22361,vanin 1
ENSMUSG00000029314,254.704307737341,3.7079032824654954,0.28554472849551643,12.985367658516296,1.4812515384603925e-38,7.417120203584005e-35,Gpat3,231510,glycerol-3-phosphate acyltransferase 3
ENSMUSG00000008153,946.8298925342651,3.0580274643149967,0.2403634800678304,12.722512852002408,4.433688736727656e-37,1.665071805078071e-33,Clstn3,232370,calsyntenin 3
ENSMUSG00000068220,1035.5638143488193,2.8434908196407105,0.22826029311210186,12.457229336178202,1.2773160558634604e-35,3.837568358236181e-32,Lgals1,16852,"lectin, galactose binding, soluble 1"
ENSMUSG00000029822,687.1853555885906,3.2310012486224555,0.26395112745266613,12.24090717021796,1.879204029296679e-34,4.704900488015785e-31,Osbpl3,71720,oxysterol binding protein-like 3
ENSMUSG00000002944,3571.061863107431,3.101903344559691,0.26261870306245316,11.81143349040921,3.4070242282038614e-32,7.311473993725486e-29,Cd36,12491,CD36 molecule
ENSMUSG00000010651,35275.72190830705,2.0117944396411156,0.17103675204079016,11.76235174976503,6.101085230281873e-32,1.1456312791161786e-28,Acaa1b,235674,acetyl-Coenzyme A acyltransferase 1B
ENSMUSG00000041293,59.960341327293555,-5.820959930983079,0.5104488903705438,-11.403609726250052,4.0113458286454456e-30,6.695381893101321e-27,Adgrf1,77596,adhesion G protein-coupled receptor F1
ENSMUSG00000028715,8245.425564277017,7.275129650190695,0.6467368855187127,11.248979009996788,2.3428831498661445e-29,3.5194790677289227e-26,Cyp4a14,13119,"cytochrome P450, family 4, subfamily a, polypeptide 14"
ENSMUSG00000010025,14276.975254277011,1.998710649497625,0.18326033143640733,10.906400931568719,1.0742561932547466e-27,1.467043321370255e-24,Aldh3a2,11671,"aldehyde dehydrogenase family 3, subfamily A2"
ENSMUSG00000054764,87.19383370048038,3.447711495444377,0.3213272929701558,10.729594313560515,7.391998144745892e-27,9.253549677531065e-24,Mtnr1a,17773,melatonin receptor 1A
ENSMUSG00000040660,1593.0466728640824,7.436806068532143,0.6942051755253603,10.712691767104905,8.874331016591492e-27,1.0254630810095183e-23,Cyp2b9,13094,"cytochrome P450, family 2, subfamily b, polypeptide 9"
ENSMUSG00000069170,442.3113048346245,4.003511629181736,0.3758626587675058,10.651527987136797,1.7152617342191142e-26,1.8404758408171095e-23,Adgrv1,110789,adhesion G protein-coupled receptor V1
ENSMUSG00000026853,1526.4468721701967,1.661178325778703,0.16109237023524528,10.311961537053945,6.221826001159221e-25,6.230951345960921e-22,Crat,12908,carnitine acetyltransferase
ENSMUSG00000002831,1444.9148798977064,3.4089672091183836,0.33660944480325844,10.127366482871142,4.177489780877289e-24,3.922140718021165e-21,Plin4,57435,perilipin 4
ENSMUSG00000021226,341.1377646606258,3.7914157067225087,0.37573672937364233,10.090617739295396,6.078577197756822e-24,5.371316862629587e-21,Acot2,171210,acyl-CoA thioesterase 2
ENSMUSG00000012187,71.86703609192332,5.2220990272088494,0.5190712840937888,10.060466042396772,8.260636630140316e-24,6.893960192109324e-21,Mogat1,68393,monoacylglycerol O-acyltransferase 1
ENSMUSG00000052133,208.79265459250942,3.737279067877774,0.3738401008152614,9.996998876598862,1.570855431797859e-23,1.2419679103403916e-20,Sema5b,20357,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B"
ENSMUSG00000002550,1129.8476219674833,1.1266406344869702,0.11433639450797949,9.853735893415307,6.60424836847175e-23,4.9604509495591315e-20,Uck1,22245,uridine-cytidine kinase 1
ENSMUSG00000024747,5110.00470197649,1.3070405331667907,0.13772460869559677,9.4902468451056,2.3048781290875935e-21,1.6487561550073252e-18,Aldh1a7,26358,"aldehyde dehydrogenase family 1, subfamily A7"
ENSMUSG00000030545,3623.9156052491558,1.707708159714349,0.18014064557647078,9.479860329408094,2.546236558845038e-21,1.738616617589553e-18,Pex11a,18631,peroxisomal biogenesis factor 11 alpha
ENSMUSG00000035948,638.3151410763114,3.4236564291199434,0.36259161449494176,9.442183140083909,3.6509196649613554e-21,2.3845267481325863e-18,Acss3,380660,acyl-CoA synthetase short-chain family member 3
ENSMUSG00000020777,57530.231370847374,1.3251778310277975,0.14125007560806807,9.381784932312664,6.486518360092922e-21,4.058731884813622e-18,Acox1,11430,"acyl-Coenzyme A oxidase 1, palmitoyl"
ENSMUSG00000036427,5356.040788143607,-0.7312920080275682,0.07798356817525744,-9.37751407301714,6.7546463267434786e-21,4.058731884813622e-18,Gpi1,14751,glucose-6-phosphate isomerase 1
ENSMUSG00000024526,514.5029440394129,6.226123103708133,0.6676209445452216,9.325835497790324,1.1011258830359573e-20,6.260660554460957e-18,Cidea,12683,"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A"
ENSMUSG00000066072,6029.032076983335,5.416343192708761,0.5810070118654794,9.322337049458548,1.1380543032406042e-20,6.260660554460957e-18,Cyp4a10,13117,"cytochrome P450, family 4, subfamily a, polypeptide 10"
ENSMUSG00000031938,5229.811514468793,0.9302695114474843,0.09981777980490472,9.319677448904487,1.1669451173272986e-20,6.260660554460957e-18,4931406C07Rik,70984,RIKEN cDNA 4931406C07 gene
ENSMUSG00000062545,395.23037745347835,2.212710613034009,0.2435963894063762,9.08351153490492,1.0512720668621665e-19,5.445589306346023e-17,Tlr12,384059,toll-like receptor 12
ENSMUSG00000087382,296.44691997456806,2.4654729651195146,0.27213668052312256,9.05968633254506,1.308262200533127e-19,6.550904925469545e-17,Ctcflos,74161,"CCCTC-binding factor like, opposite strand"
ENSMUSG00000057069,1325.0238548381024,-1.4712978606153986,0.16561003600488955,-8.884110505066005,6.443421826424303e-19,3.1223575056950284e-16,Ero1b,67475,endoplasmic reticulum oxidoreductase 1 beta
ENSMUSG00000030643,251.87163875319675,2.238583163775415,0.2522950180361339,8.872878985881535,7.127877589645851e-19,3.346093035989374e-16,Rab30,75985,"RAB30, member RAS oncogene family"
ENSMUSG00000051579,310.14567502305505,2.34017239625504,0.26489134104468065,8.83446165898005,1.0058145131083733e-18,4.568461380125768e-16,Tceal8,66684,transcription elongation factor A (SII)-like 8
ENSMUSG00000028199,2126.8942928312213,0.7927331838234903,0.08976331740050711,8.83137128596154,1.0340013774748775e-18,4.568461380125768e-16,Cryz,12972,"crystallin, zeta"
ENSMUSG00000028494,9709.659343888314,1.830002472440977,0.2090713474537518,8.7530046308511391,2.077461614510334e-18,8.916465249478352e-16,Plin2,11520,perilipin 2
ENSMUSG00000037826,869.6091059442307,1.290832506219342,0.14852140406147163,8.691222079243733,3.5856135750965575e-18,1.4961968645861246e-15,Ppm1k,243382,protein phosphatase 1K (PP2C domain containing)
ENSMUSG00000020037,61.12407613360794,2.5547920236030177,0.29584803501997836,8.63548755167664,5.847709042638836e-18,2.3741698713113674e-15,Rfx4,71137,"regulatory factor X, 4 (influences HLA class II expression)"
ENSMUSG00000020553,2641.9354656562527,1.4548527552243329,0.16945443213144007,8.585510198375058,9.043418088872801e-18,3.571668371406159e-15,Pctp,18559,phosphatidylcholine transfer protein
